	SOMBREROS, PARAGUAS, TAPASOLES, OTROS	65050090	10 	2 
		66011000	20 	11 
		66019900	10 	5 
	VEHICULOS Y MATERIAL DE TRANSPORTE	84832000	50 	1 
		84833000	100 	2 
		87120000	760 	295 
	VIDRIO Y SUS MANUFACTURAS	70049000	630 	190 
		70099200	230 	77 
		70109049	3,419 	1,679 
		70139900	10 	5 
		70179000	16 	9 
ARUBA ( Países Bajos )	AZUCAR	17011400	389,552 	894,357 
	BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	22029090	4,234 	9,155 
	CERAS	34054000	8,071 	15,181 
	DETERGENTES Y JABONES	34011900	1,834 	2,247 
		34022000	57,477 	101,561 
	LEGUMBRES Y HORTALIZAS	07061000	8,955 	1,926 
		07081000	176 	64 
		07089000	7,616 	2,876 
		07099910	536 	105 
		07099920	4,290 	1,403 
	MANUFACTURAS DE PAPEL Y CARTON	49111090	22 	27 
	MANUFACTURAS DIVERSAS	94060090	1,525 	579 
		96032100	1,053 	2,208 
	MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	84185000	7,449 	1,408 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	42022200	2,488 	88 
	MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.	94036000	100 	92 
	PREPARADOS DE FRUTAS	20094100	1,215 	2,764 
		20097100	5,174 	12,189 
		20098990	13,713 	31,839 
	PREPARADOS DE LEGUMBRES Y HORTALIZAS	20019010	1,566 	300 
	PRODUCTOS FARMACEUTICOS	30049091	6,680 	1,223 
AUSTRALIA	APARATOS ELECTROMECANICOS DE USO DOMESTICO	73211190	75 	105 
	ARTICULOS DE VESTUARIO	62011200	330 	59 
		62033200	88 	16 
		62033900	135 	190 
		62034200	724 	123 
		62045200	1,477 	130 
		62052000	293 	41 
		62063000	67 	4 
		62092000	117 	21 
		62171000	1,753 	190 
	AZUCARES Y ARTICULOS DE CONFITERIA	18069000	600 	328 
	BEBIDAS LIQUIDOS ALCOHOLICOS Y VINAGRES	22030000	37,280 	61,344 
		22084010	70,567 	71,330 
	CAFE	09011130	6,136,306 	1,502,337 
	CARDAMOMO	09083120	1,097,070 	128,448 
		09083220	3,625 	250 
	FRUTAS FRESCAS, SECAS O CONGELADAS	08119000	127,585 	46,657 
	GRASAS Y ACEITES COMESTIBLES	15159090	7,500 	65 
	INSECTICIDAS, FUNGICIDAS Y DESINFECTANTES	38085019	43,055 	19,815 
		38089190	154,872 	17,018 
	INSTRUMENTAL MEDICO Y OTROS	92071000	75 	105 
	JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES	95030021	15,778 	338 
		95030039	28,920 	746 
		95030041	20 	2 
		95066900	7,675 	308 
	LEGUMBRES Y HORTALIZAS	07109000	54,409 	24,006 
	MANUFACTURAS DE CERAMICA	69139000	1,845 	562 
		69149000	106 	10 
	MANUFACTURAS DE CUERO	42033000	81 	5 
		42034000	85 	15 
	MANUFACTURAS DE MADERA	44190000	2,054 	202 
		44201000	327 	8 
	MANUFACTURAS DE PAPEL Y CARTON	48202000	53 	5 
		48239099	59 	11 
		49019900	315 	442 
	MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	71162000	607 	61 
		71171900	10 	4 
		71179000	30,641 	210 
	MANUFACTURAS DIVERSAS	42022900	5,563 	683 
		42023900	507 	12 
		63069010	728 	105 
		94054090	90 	126 
		96159000	16 	1 
	MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	84149011	26 	12 
		84743900	1,500 	498 
		85198159	220 	309 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	39231000	50 	72 
		39232910	135 	10 
		42021200	4,322 	155 
		42022200	336 	150 
	MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.	94018000	91 	16 
		94036000	1,010 	1,418 
	OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES	97019020	170 	239 
	OTRAS MANUFACTURAS DE METALES COMUNES	73239990	225 	316 
	PIMIENTA	09042100	2,500 	250 
		09042200	20,500 	2,000 
	PLANTAS, SEMILLAS Y FRUTAS PARA USO MEDICO Y PERFUMERIA	12119090	3,010 	300 
	PREPARADOS DE FRUTAS	08135000	9,431 	3,931 
		08140000	3,771 	1,570 
	ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O	57011000	316 	53 
		63012000	120 	22 
		63022100	524 	87 
		63023100	786 	54 
		63025100	790 	73 
	SOMBREROS, PARAGUAS, TAPASOLES, OTROS	65040000	381 	77 
	VIDRIO Y SUS MANUFACTURAS	70099200	45 	63 
AUSTRIA	APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	85232953	10 	3 
	ARTICULOS DE VESTUARIO	62045200	20 	6 
		62149000	348 	1 
		62171000	518 	7 
		62179000	45 	64 
	CAFE	09011130	56,259 	19,864 
	CERAS	34060000	72 	1 
	HERRAMIENTAS ARTICULOS DE CUCHILLERIA	82055190	70 	99 
	JUGUETES, JUEGOS Y ARTICULOS DE RECREO Y DEPORTES	95030039	4,364 	215 
		95030049	80 	113 
		95043000	7,379 	57 
		95059000	52 	1 
		95066900	21,766 	1,268 
	MANUFACTURAS DE CUERO	42034000	660 	32 
	MANUFACTURAS DE PAPEL Y CARTON	49019900	30 	42 
	MANUFACTURAS DE PIEDRAS Y METALES PRECIOSOS Y SEMI PRECIOSOS	71162000	502 	1 
		71179000	8,008 	53 
	MANUFACTURAS DIVERSAS	42022900	471 	7 
		42023900	1,202 	565 
		63069010	936 	13 
		96159000	162 	8 
	MAQUINAS Y APARATOS MECANICOS PARA USOS ELECTROTECNICOS	84145900	9 	1 
		84381000	2,000 	938 
		84717000	27,144 	211 
		84719000	25 	35 
		85271390	25 	35 
	MATERIALES PLASTICOS Y SUS MANUFACTURAS	39264000	280 	396 
		42021200	4,168 	252 
	MATERIALES TEXTILES (TEJIDOS O TELAS)	52084900	14 	4 
		52122400	827 	403 
		56081900	16,931 	850 
	MUEBLES PARA EL HOGAR, OFICINA, MEDICOQUIRURGICO, ETC.	94036000	1,275 	1,805 
		94042900	60 	85 
	OBJETOS DE ARTE, PARA COLECCIONES Y ANTIGUEDADES	97011020	15 	21 
	OTROS PRODUCTOS DEL REINO ANIMAL Y VEGETAL	13019090	424 	484 
	PRODUCTOS DE PERFUMERIA, TOCADOR Y COSMETICOS	33030000	240 	1 
		33074100	900 	39 
	ROPA DE CAMA, DE MESA, TOCADOR, COCINA Y BA&O	57039000	25 	35 
		63022100	4 	1 
		63022900	717 	6 
		63023100	75 	35 
		63025100	916 	8 
	SEMILLA DE AJONJOLI	12074020	42,075 	25,182 
	VEHICULOS Y MATERIAL DE TRANSPORTE	87032369	3,500 	820 
	VIDRIO Y SUS MANUFACTURAS	70200090	57,400 	7,383 
BAHAMAS	APARATOS DE REGISTRO Y REPRODUCCION DE SONIDO	85235120	1,621,384 	1 
	AZUCAR	17011400	1,604,998 	3,745,211 
